,Name,Series title,Country of publication,Material type,Place of publication,Publisher,Genre,Languages
560,"Finzi, Gerald",,England,Volume,"Milwaukee, Wisconsin",Boosey & Hawkes ; Hal Leonard,,English
561,"Finzi, Gerald",,England,Volume,"Milwaukee, Wisconsin",Boosey & Hawkes ; Hal Leonard,,English
562,"Rossetti, Christina Georgina",,England,Sheet,London,G. Polidori's,,
563,"Rossetti, Christina Georgina",Lilla serien,Sweden,Volume,Lund,Ellerströms,Poetry or verse,Swedish
564,"Gower, Christopher",,England,Volume,"Matfield, Kent",Encore Publications,,English
565,"Bullard, Alan",Colne Edition church music series,England,Volume,"Colchester, Essex ; Colne ; Laggan Bridge, Scottish Highlands",Music ; sole selling agents Spartan Press,,English
566,"Inglis, Brian",,England,Volume,Chipping Norton,Composers,Facsimile ; Manuscript ; Song,English
567,"Inglis, Brian",,England,Volume,Chipping Norton,Composers,Song,English
568,"Smith, Alan",,England,Volume,Dalton-in-Furness,Animus,,English
569,"Faure, afterwards Goyau, Lucie Félix",,,Volume,Paris,,,French
570,"Rossetti, Christina Georgina",,England,Volume,London,S.P.C.K,,English
571,"Rossetti, Christina Georgina",,England,Volume,London,Eragny Press,,
572,"Rossetti, Christina Georgina",,England ; United States of America,Volume,"Columbia, South Carolina ; London",Eurospan ; University of South Carolina Press,,English
573,"Rossetti, Christina Georgina",,United States of America,Volume,New York,"Young, Society for Promoting Christian Knowledge",,English
574,"Rossetti, Christina Georgina",,England,Volume,London,Christian Knowledge Society,,
575,"Rossetti, Christina Georgina",,England,Volume,London,S.P.C.K,,
576,"Rossetti, Christina Georgina",,England,Volume,London,,,
577,"Rossetti, Christina Georgina",,England,Volume,London,G. Polidori's,,
578,"Harris, Roger, musicologist",,England,Volume,Chorleywod,R. Clyde,,English
579,"Harris, Roger, musicologist",,England,Volume,Chorleywod,R. Clyde,Song ; Vocal score,English
580,"Harris, Roger, musicologist",,England,Volume,Chorleywod,R. Clyde,Song ; Vocal score,English
581,"Harrison, Antony H.",Victorian literature and culture series,England,Volume,Charlottesville ; London,University Press ; Virginia,,English
582,"Gray, Alan",Eboracum choral series,England,Volume,York,Banks Music,,English
583,"Ireland, John",,England,Volume,London,Oxford University Press,,
584,"Ireland, John",,England,Volume,London,Oxford University Press,,
585,"Bullard, Alan",Colne Edition solo song series,England,Volume,Colchester ; Colne,,,English
586,,,England,Volume,Tewkesbury,Association of English Singers & Speakers ; Goodmusic,Excerpt,English
587,,Anthem nineteenth century studies,England,Online resource,London,Anthem,Biography ; Criticsm and interpretation ; History,English
588,,,England,Volume,Tewkesbury,Association of English Singers & Speakers ; Goodmusic,Excerpt,English
589,"Skempton, Howard",Oxford contemporary repertoire,England,Volume,Oxford ; Tewkesbury,Goodmusic ; Oxford University Press ; under exclusive licence,,English
590,"Rossetti, Christina",Pickering women's classics,England,Online resource (ePub ebook),London,Routledge,,English
591,"Rossetti, Christina Georgina",Pickering women's classics,England,Volume,London,Routledge,,English
592,"Scheinberg, Cynthia A.",Cambridge studies in nineteenth-century literature and culture,England,Volume,Cambridge,Cambridge University Press,,English
593,"Scheinberg, Cynthia",,England,Volume,Cambridge,Cambridge University Press,,English
594,"Swann, Thomas Burnett",,,Volume,"Francestown, New Hampshire",Marshall Jones,,
595,"Rossetti, Christina Georgina",,,Volume,Newtown,Gregynog Press,,
596,"Rossetti, Christina Georgina",,England,Volume,Cambridge ; London,Macmillan,,
597,"Rossetti, Christina Georgina",,England,Volume,"Cambridge, London",,,
598,"Rossetti, Christina Georgina",,England,Online resource,"Cambridge, London",,,
599,"Rossetti, Christina Georgina",,England,Volume,London,Macmillan,,
600,"Rossetti, Christina Georgina",,England,Volume,London,Macmillan ; R. Clay ; Taylor,,English
601,"Rossetti, Christina Georgina",,England,Online resource,London,,,English
602,"Rossetti, Christina Georgina",,England,Volume,London,Macmillan,,English
603,"Rossetti, Christina Georgina",,England,Online resource,London,Macmillan,,English
604,"Rossetti, Christina Georgina",Penguin classics,England,Volume,London,Penguin,,English
605,"Rossetti, Christina Georgina",,England,Volume,London,Faber,,
606,"Rossetti, Christina Georgina",,England,Volume,Liverpool,,,English
607,"Rossetti, Christina Georgina",Illustrated poetry anthology,England,Volume,London,Brockhampton,,English
608,"Rossetti, Christina Georgina",Everyman's poetry,England,Volume,London,Everyman,,English
609,"Rossetti, Christina Georgina",Phoenix poetry series,England,Volume,London,Phoenix,,English
610,"Rossetti, Christina Georgina",Pocket Poets,England,Volume,London,Edward Hulton,,
611,"Rossetti, Christina Georgina",Augustan Books of Modern Poetry,England,Volume,London,Ernest Benn,,
612,"Rossetti, Christina Georgina",Christmas Booklets,England,Volume,London,S.P.C.K,,
613,"Rossetti, Christina Georgina",,England,Volume,London,Bodley Head,,English
614,"Rossetti, Christina Georgina",,England,Volume,Winchester,Warren,,English
615,"Rossetti, Christina Georgina",,England,Online resource,Winchester,Warren,,English
616,"Rossetti, Christina Georgina",,,Volume,,,,
617,"Rossetti, Christina Georgina",,England,Volume,London,Grey Walls,,
618,"Rossetti, Christina Georgina",,England,Volume,London,A. R. Mowbray,,
619,"Rossetti, Christina Georgina",,,Volume,Newtown,Gregynog Press,,
620,"Rossetti, Christina Georgina",,England,Volume,London,S.P.C.K,,
621,"Rossetti, Christina Georgina",Macmillan's Pocket American & English Classics,United States of America,Volume,New York,Macmillan,,
